Fleet Management SQL Dump - Statistics
Source:         C:\Transferr\sql.sql
Size on disk:   156.5 GB (UTF-16 LE; ~78.3 GB effective text)
Scanned:        2026-05-20 11:18:37
Tables:         119
INSERT rows:    62,000,209

All tables, sorted by row count (descending):
---------------------------------------------
    48,074,445  ACCSNMPHISTORY
    12,449,058  ACCMIBCOUNTERVALUES
       836,187  ACCEVENTHISTORY
       199,172  ACCMARKERREFILL
       141,936  ACCDEVICEMARKERCOVERAGE
       128,087  ACCFMREPORTING
        45,095  ACCMIBCOUNTERTEMPLATE
        31,493  ACCDEVICECONTRACTS
        22,186  ACCINPUTTRAYS
        20,525  ACCMARKERCOVERAGE
        11,950  ACCDEVICES
         6,862  ACCDEVICEMARKERALERT
         6,753  ACCMIBPROPERTYVALUES
         6,492  ACCDEVICEALIAS
         5,209  ACCFIRMWARE
         2,565  ACCPMDSTOCK
         2,177  ACCPMDFILES
         1,445  ACCUSERCLIENTRELATIONS
         1,436  ACCSUBMITTERCLIENTS
         1,203  ACCMODELDATA
           991  ACCUSERNOTIFICATIONS
           991  ACCUSERS
           985  ACCCONTRACTS
           533  ACCUSERLICENSE
           450  ACCDEVICEMAINTENANCE
           248  ACCHOLIDAYS
           207  ACCBRINFO
           206  ACCSYSTEM
           185  ACCMIBCOUNTERDEF
           181  ACCMAINTENANCEPRESELECT
           130  ACCSNMPALERTPRESELECT
           116  ACCFORMATS
           112  ACCSNMPVENDORS
            89  ACCDEVICEVENDORS
            86  ACCMARKERALERT
            69  ACCMARKERALERTPRESELECT
            55  ACCACCESSKEYS
            35  ACCMIBPROPERTYDEF
            34  ACCSNMPALERTRULES
            33  ACCMEDIATYPES
            31  ACCSYSRSC
            22  NPSCONFIG
            21  ACCMAINTENANCE
            19  ACCCALENDARS
            19  ACCUSERCOLUMNVISIBILITY
            18  ACCUSERGROUPMEMBERS
            16  ACCMAILS
            11  ACCDASHBOARD
            10  ACCAPICLIENTS
             7  ACCGROUPMEMBERS
             7  ACCPRTDISCOVERY
             4  ACCPRICES
             4  ACCUSERSHPJAM
             2  ACCSNMPALERTS
             1  ACCGROUPS
             1  ACCPAPERS
             1  ACCPRICELISTS
             1  ACCUSERGROUPS
             1  NPSRIGHTS
             1  NPSUSERS
             0  ACCAPITOKENS
             0  ACCBILLINGS
             0  ACCBUDGETCHECKS
             0  ACCCEIGNORELIST
             0  ACCCHARGES
             0  ACCCHARGETASKS
             0  ACCCONTRACTPRICEOPTS
             0  ACCCOUNTERINPUT
             0  ACCCOVERAGEALERTPRESELECT
             0  ACCCOVERAGEALERTS
             0  ACCDEPARTMENTBILLINGS
             0  ACCDEPARTMENTS
             0  ACCDEPARTMENTUSERS
             0  ACCDEPLOYMENT
             0  ACCDEPLOYMENTHISTORY
             0  ACCDEPLOYMENTTASKS
             0  ACCDEVICECOVERAGEALERTS
             0  ACCDEVICEDELIVERYDATA
             0  ACCDEVICEORDERHISTORY
             0  ACCDEVICEORDERS
             0  ACCF2PUSERS
             0  ACCFSMCLIENTS
             0  ACCGROUPNETS
             0  ACCHPSDSNOTIFICATIONS
             0  ACCJOBS
             0  ACCLABELCFCOUNTERS
             0  ACCLABELCFDEFS
             0  ACCLABELCFDEVICES
             0  ACCMANUALREFILLS
             0  ACCMIBCOUNTEROFFSETS
             0  ACCNPSSERVERS
             0  ACCORDEROPT
             0  ACCOXPMOPERATIONS
             0  ACCPAPERTRAYS
             0  ACCPRTDISCOVERYNETS
             0  ACCSDSPOLICYOPERATIONS
             0  ACCSDSPOLICYOPTIONS
             0  ACCSDSPOLICYRESULTS
             0  ACCSHEETS
             0  ACCSNMP
             0  ACCSNMPCREDENTIALS
             0  ACCSOURCEIDENTIFIERS
             0  ACCSTATISTICS
             0  ACCSYSOBJECTS
             0  ACCTASKS
             0  ACCUSERBILLINGS
             0  ACCUSERSETTINGS
             0  ACCUSERSKYOKFS
             0  ACCXMLSUPPLIES
             0  NPSDEVICEAUTHS
             0  NPSDEVICES
             0  NPSDEVICESTAT
             0  NPSEVENTLOG
             0  NPSGROUPMEMBERS
             0  NPSGROUPS
             0  NPSRDN
             0  NPSROLES
             0  NPSROUTES
             0  NPSSTATISTICS
